stock_code,stock_name,latest_price,pct_change,turnover_rate,volume,amount,amplitude,pe_dynamic,pb,total_market_value,float_market_value,snapshot_date,source,synthesized_at
000759,中百集团,6.11,5.89,22.5,1475196.0,892209294.98,12.31,,,,,2026-05-29,derived_from_last_daily_row,20260608
001335,信凯科技,45.0,-1.1,2.58,6599.0,30010730.0,3.49,,,,,2026-05-29,derived_from_last_daily_row,20260608
000726,鲁  泰A,6.04,2.2,1.27,74755.0,44878750.81,3.21,,,,,2026-05-29,derived_from_last_daily_row,20260608
001380,华纬科技,17.45,-3.86,0.92,24815.0,43651382.72,5.01,,,,,2026-05-29,derived_from_last_daily_row,20260608
000713,国投丰乐,5.88,0.0,0.66,40488.0,23869193.76,1.7,,,,,2026-05-29,derived_from_last_daily_row,20260608
920640,富士达,31.45,,0.0273074922981505,4932233.0,159065707.0,,,,,,2026-05-29,derived_from_last_daily_row,20260608
002278,神开股份,8.88,-3.16,3.18,105770.0,94749845.64,4.58,,,,,2026-05-29,derived_from_last_daily_row,20260608
002191,劲嘉股份,3.68,1.38,1.57,219922.0,81231690.19,3.86,,,,,2026-05-29,derived_from_last_daily_row,20260608
000722,湖南发展,14.78,4.67,8.55,397053.0,585399503.86,9.42,,,,,2026-05-29,derived_from_last_daily_row,20260608
001338,永顺泰,11.4,2.33,1.61,80911.0,91605937.89,3.86,,,,,2026-05-29,derived_from_last_daily_row,20260608
000710,贝瑞基因,8.82,-0.45,2.12,69897.0,61803511.0,3.27,,,,,2026-05-29,derived_from_last_daily_row,20260608
000715,中兴商业,5.18,1.77,2.41,117389.0,60929217.68,4.32,,,,,2026-05-29,derived_from_last_daily_row,20260608
002196,方正电机,13.53,-6.43,9.43,460415.0,637956607.6,7.95,,,,,2026-05-29,derived_from_last_daily_row,20260608
002277,友阿股份,6.88,-4.84,4.1,571625.0,406324975.68,6.36,,,,,2026-05-29,derived_from_last_daily_row,20260608
000716,黑芝麻,5.84,4.1,10.1,745870.0,433493687.46,9.98,,,,,2026-05-29,derived_from_last_daily_row,20260608
000721,西安饮食,6.51,2.04,2.82,144598.0,94501761.0,3.45,,,,,2026-05-29,derived_from_last_daily_row,20260608
001376,百通能源,14.56,-1.22,11.47,245563.0,363897718.08,4.34,,,,,2026-05-29,derived_from_last_daily_row,20260608
001359,平安电工,97.8,-2.22,5.09,23628.0,234806589.77,7.64,,,,,2026-05-29,derived_from_last_daily_row,20260608
000717,中南股份,2.23,0.9,0.96,232834.0,52361221.7,4.07,,,,,2026-05-29,derived_from_last_daily_row,20260608
000718,苏宁环球,2.01,1.52,1.8,409604.0,83102951.3,4.55,,,,,2026-05-29,derived_from_last_daily_row,20260608
001367,海森药业,20.7,-0.72,1.31,15926.0,33206355.74,3.5,,,,,2026-05-29,derived_from_last_daily_row,20260608
001379,腾达科技,18.79,-4.38,3.46,23316.0,44647463.36,5.24,,,,,2026-05-29,derived_from_last_daily_row,20260608
001388,信通电子,33.55,-4.9,4.3,13420.0,45602217.0,5.73,,,,,2026-05-29,derived_from_last_daily_row,20260608
920779,武汉蓝电,27.32,-2.22,2.38,4764.0,13227326.81,3.9,,,,,2026-05-29,derived_from_last_daily_row,20260608
000707,双环科技,4.83,-1.43,1.49,82271.0,40111033.56,2.86,,,,,2026-05-29,derived_from_last_daily_row,20260608
001319,铭科精技,22.85,-7.41,6.69,54872.0,127895750.57,8.83,,,,,2026-05-29,derived_from_last_daily_row,20260608
002279,久其软件,6.65,-2.35,2.78,221049.0,149954522.2,5.87,,,,,2026-05-29,derived_from_last_daily_row,20260608
001896,豫能控股,16.37,4.33,13.99,2134396.0,3477182804.98,11.85,,,,,2026-05-29,derived_from_last_daily_row,20260608
000670,盈方微,8.7,-10.03,12.37,1016707.0,919596673.04,8.27,,,,,2026-05-29,derived_from_last_daily_row,20260608
002206,海利得,5.15,-3.2,1.53,161267.0,84374861.75,3.76,,,,,2026-05-29,derived_from_last_daily_row,20260608
001324,长青科技,18.26,-4.05,1.75,24105.0,44586038.0,4.94,,,,,2026-05-29,derived_from_last_daily_row,20260608
000700,模塑科技,14.18,-2.88,6.71,616238.0,886726782.63,5.89,,,,,2026-05-29,derived_from_last_daily_row,20260608
001400,江顺科技,110.12,-5.01,3.14,14516.0,162402080.02,6.12,,,,,2026-05-29,derived_from_last_daily_row,20260608
920946,森萱医药,9.63,2.67,0.64,27420.0,26129297.32,3.2,,,,,2026-05-29,derived_from_last_daily_row,20260608
920885,星辰科技,14.45,-2.56,2.13,18871.0,27754354.71,4.86,,,,,2026-05-29,derived_from_last_daily_row,20260608
000753,漳州发展,5.34,-2.2,1.78,176226.0,95735786.92,3.3,,,,,2026-05-29,derived_from_last_daily_row,20260608
002189,中光学,21.24,-5.73,2.19,57089.0,123274065.47,6.21,,,,,2026-05-29,derived_from_last_daily_row,20260608
001395,亚联机械,35.6,-1.36,0.87,4071.0,14524477.6,2.63,,,,,2026-05-29,derived_from_last_daily_row,20260608
002274,华昌化工,5.56,-2.63,1.39,130602.0,73250096.0,3.5,,,,,2026-05-29,derived_from_last_daily_row,20260608
000701,厦门信达,5.59,-6.83,3.71,247505.0,140437949.14,8.0,,,,,2026-05-29,derived_from_last_daily_row,20260608
001328,登康口腔,30.11,6.77,1.59,25755.0,78746715.09,10.64,,,,,2026-05-29,derived_from_last_daily_row,20260608
000751,锌业股份,5.17,-2.64,3.51,494318.0,261764323.3,6.21,,,,,2026-05-29,derived_from_last_daily_row,20260608
001390,古麒绒材,17.7,0.23,2.79,13926.0,24699151.7,2.1,,,,,2026-05-29,derived_from_last_daily_row,20260608
000705,浙江震元,7.0,0.0,2.36,66477.0,46783543.0,1.86,,,,,2026-05-29,derived_from_last_daily_row,20260608
001332,锡装股份,46.45,2.45,8.91,59884.0,282907396.45,8.09,,,,,2026-05-29,derived_from_last_daily_row,20260608
000731,四川美丰,6.06,0.17,1.11,60982.0,37035353.74,1.49,,,,,2026-05-29,derived_from_last_daily_row,20260608
002184,海得控制,12.1,-4.57,7.73,185869.0,231729895.28,5.99,,,,,2026-05-29,derived_from_last_daily_row,20260608
000905,厦门港务,9.28,-0.75,1.25,92966.0,86796841.84,2.14,,,,,2026-05-29,derived_from_last_daily_row,20260608
000815,美利云,16.07,-4.63,7.76,539392.0,881235947.65,6.47,,,,,2026-05-29,derived_from_last_daily_row,20260608
920735,德源药业,26.28,,0.0217526920401972,2482699.0,64995872.0,,,,,,2026-05-29,derived_from_last_daily_row,20260608
000510,新金路,16.65,-6.2,9.84,596796.0,1009815377.9,8.96,,,,,2026-05-29,derived_from_last_daily_row,20260608
002103,广博股份,7.04,-0.14,1.58,61166.0,43369186.1,1.84,,,,,2026-05-29,derived_from_last_daily_row,20260608
001256,炜冈科技,22.59,-4.96,2.15,23000.0,52729673.9,5.3,,,,,2026-05-29,derived_from_last_daily_row,20260608
000886,海南高速,4.79,0.0,1.63,159611.0,77073725.98,2.51,,,,,2026-05-29,derived_from_last_daily_row,20260608
000514,渝开发,4.45,1.37,1.95,164312.0,74278777.0,5.47,,,,,2026-05-29,derived_from_last_daily_row,20260608
002293,罗莱生活,9.94,1.74,0.91,74878.0,74296540.2,3.07,,,,,2026-05-29,derived_from_last_daily_row,20260608
