stock_code,stock_name,n_daily_rows,first_date,last_date,missing_ratio,download_success
002169,智光电气,95,2026-01-05,2026-05-29,0.1121,True
002172,澳洋健康,95,2026-01-05,2026-05-29,0.1121,True
002177,御银股份,95,2026-01-05,2026-05-29,0.1121,True
002178,延华智能,95,2026-01-05,2026-05-29,0.1121,True
002181,粤传媒,95,2026-01-05,2026-05-29,0.1121,True
002184,海得控制,95,2026-01-05,2026-05-29,0.1121,True
002186,全聚德,95,2026-01-05,2026-05-29,0.1121,True
002187,广百股份,95,2026-01-05,2026-05-29,0.1121,True
002189,中光学,95,2026-01-05,2026-05-29,0.1121,True
002191,劲嘉股份,95,2026-01-05,2026-05-29,0.1121,True
002196,方正电机,95,2026-01-05,2026-05-29,0.1121,True
002206,海利得,95,2026-01-05,2026-05-29,0.1121,True
002208,合肥城建,95,2026-01-05,2026-05-29,0.1121,True
002210,飞马国际,95,2026-01-05,2026-05-29,0.1121,True
002213,大为股份,95,2026-01-05,2026-05-29,0.1121,True
002218,拓日新能,95,2026-01-05,2026-05-29,0.1121,True
002224,三力士,95,2026-01-05,2026-05-29,0.1121,True
002225,濮耐股份,95,2026-01-05,2026-05-29,0.1121,True
002229,鸿博股份,95,2026-01-05,2026-05-29,0.1121,True
002232,启明信息,95,2026-01-05,2026-05-29,0.1121,True
002235,安妮股份,95,2026-01-05,2026-05-29,0.1121,True
002238,天威视讯,95,2026-01-05,2026-05-29,0.1121,True
002246,北化股份,95,2026-01-05,2026-05-29,0.1121,True
002248,华东数控,95,2026-01-05,2026-05-29,0.1121,True
002250,联化科技,95,2026-01-05,2026-05-29,0.1121,True
002255,海陆重工,95,2026-01-05,2026-05-29,0.1121,True
002263,大东南,95,2026-01-05,2026-05-29,0.1121,True
002264,新华都,95,2026-01-05,2026-05-29,0.1121,True
002269,美邦服饰,95,2026-01-05,2026-05-29,0.1121,True
002272,川润股份,95,2026-01-05,2026-05-29,0.1121,True
002274,华昌化工,95,2026-01-05,2026-05-29,0.1121,True
002277,友阿股份,95,2026-01-05,2026-05-29,0.1121,True
002278,神开股份,95,2026-01-05,2026-05-29,0.1121,True
002279,久其软件,95,2026-01-05,2026-05-29,0.1121,True
002282,博深股份,95,2026-01-05,2026-05-29,0.1121,True
002283,天润工业,95,2026-01-05,2026-05-29,0.1121,True
002284,亚太股份,95,2026-01-05,2026-05-29,0.1121,True
002285,世联行,95,2026-01-05,2026-05-29,0.1121,True
002286,保龄宝,95,2026-01-05,2026-05-29,0.1121,True
002290,禾盛新材,95,2026-01-05,2026-05-29,0.1121,True
002293,罗莱生活,95,2026-01-05,2026-05-29,0.1121,True
002296,辉煌科技,95,2026-01-05,2026-05-29,0.1121,True
002297,博云新材,95,2026-01-05,2026-05-29,0.1121,True
002298,中电鑫龙,95,2026-01-05,2026-05-29,0.1121,True
002300,太阳电缆,95,2026-01-05,2026-05-29,0.1121,True
