序号,stock_code,stock_name,net_profit,net_profit_yoy,revenue,revenue_yoy,营业总支出-营业支出,营业总支出-销售费用,营业总支出-管理费用,营业总支出-财务费用,营业总支出-营业总支出,operating_profit,total_profit,announcement_date,report_date_param
243,603988,中电电机,4501235.39,7.21,117357695.59,-0.614131895,83154289.2,7615521.81,13623746.98,787462.57,110789893.22,6158136.58,5971932.44,2026-04-30,20260331
246,603980,吉华集团,18256076.97,187.89,411430548.95,20.8876283272,346240066.67,5912065.03,27080195.64,9336255.6,403227579.6,21570785.59,21563822.42,2026-04-30,20260331
251,603950,长源东谷,82845606.23,6.65,500827903.15,-0.0655407839,372165018.87,3974056.64,18630452.96,2972139.97,425739394.93,93062440.53,93094895.67,2026-04-30,20260331
252,603929,亚翔集成,247952192.27,202.41,1130437772.48,35.3811962439,847506439.92,1133405.11,17359459.47,-10529040.49,867550823.8,300554279.04,300555589.15,2026-04-30,20260331
254,603918,金桥信息,-30460243.69,-31.559616304361,120638586.96,19.3204909748,93493507.86,32255340.13,13292736.54,-604512.82,145206392.34,-27633761.75,-27624407.72,2026-04-30,20260331
255,603917,合力科技,-5477290.61,-305.41,122760483.65,0.5365392348,93109426.33,3970425.06,10133620.77,7745676.67,121826396.89,-3406077.93,-3461825.81,2026-04-30,20260331
256,603912,佳力图,-20252831.42,-57.834328063638,143075831.36,5.3465559524,128814316.65,13780212.74,5768529.84,4873975.44,168313202.64,-25609908.83,-25607280.26,2026-04-30,20260331
268,603859,能科科技,49079656.45,0.18,333261870.53,-1.0180271528,158176598.26,21781141.3,21082986.52,3909059.31,263591157.89,65891189.24,73696928.89,2026-04-30,20260331
274,603823,百合花,42938466.15,-6.23,572864807.87,0.7361375931,458191076.28,5357656.94,21805673.88,4418125.0,517451826.83,54845817.19,56655725.72,2026-04-30,20260331
278,603815,交建股份,57353725.54,73.64,634407822.87,-19.5865094922,563018230.34,4137119.6,18493504.67,17044949.05,607850633.61,76492853.12,75667574.96,2026-04-30,20260331
282,603801,志邦家居,-94344390.08,-324.22,575327710.8,-29.6305635147,426553204.11,130859513.5,70574315.71,6246934.65,680740870.01,-122313033.7,-122255646.63,2026-04-30,20260331
283,603800,洪田股份,-16020835.19,36.55,117862064.14,-12.7762625027,120096511.14,3065320.67,19523824.76,5320303.52,156381609.77,-19600853.92,-19736907.0,2026-04-30,20260331
286,603759,海天股份,3868426.78,-92.25,1513853762.63,366.883377657,1354242299.74,10374212.71,61733715.73,43074894.17,1498433221.46,12629372.16,12268002.04,2026-04-30,20260331
287,603738,泰晶科技,23044495.9,165.22,249233100.14,24.3117772476,198765461.91,5128310.68,15772225.2,-1133931.89,230245600.24,24574891.46,27235841.09,2026-04-30,20260331
291,603726,朗迪集团,87423301.98,133.72,392361843.34,-16.560333914,305535701.65,8786703.43,20477319.0,2495898.84,358791370.78,112656011.8,111253387.79,2026-04-30,20260331
296,603711,香飘飘,93389265.22,597.413587556063,878318411.2,51.413175804,519584993.64,171382531.51,54337917.93,-3838496.05,759079146.37,120762993.17,121031708.15,2026-04-30,20260331
303,603687,大胜达,22063254.64,-25.94,517348913.07,5.2782353554,417243147.51,10211960.06,28466553.75,-2293711.8,478550279.28,41500788.77,42072675.62,2026-04-30,20260331
304,603668,天马科技,6705498.83,-61.24,1548359809.25,3.5042988565,1417531201.61,13145167.51,33944209.87,41481061.48,1530755279.05,10281474.14,10503717.58,2026-04-30,20260331
307,603665,康隆达,15982869.88,-85.99,353742676.44,-6.8762707621,279067387.04,6350061.45,23094303.84,26103283.48,349213535.55,10115724.7,9778251.06,2026-04-30,20260331
311,603628,清源股份,4500021.03,-85.93,369077824.29,2.2575466887,275060492.2,37242317.69,17936854.61,21230929.75,367402764.29,5424789.99,4244941.81,2026-04-30,20260331
314,603602,纵横通信,4966361.76,45.22,448785722.98,29.9237383193,376889212.41,14105990.73,26476518.46,2925761.43,441141680.74,15494112.63,15442535.42,2026-04-30,20260331
315,603598,引力传媒,10388526.16,37.73,2222200089.85,11.6666920185,2151286841.5,35977452.52,19801930.92,2975266.73,2214130535.64,9045362.92,9047375.88,2026-04-30,20260331
317,603577,汇金通,13601940.35,-9.04,801278150.28,-4.3156695244,701512207.03,15834676.19,15109601.64,24373304.66,793462940.37,14342108.2,15276517.13,2026-04-30,20260331
318,603569,长久物流,950230.95,-76.14,733021596.66,-17.8004881532,644286717.07,21781361.49,48257551.78,17144914.14,740762391.9,6686330.18,9419351.75,2026-04-30,20260331
323,603535,嘉诚国际,18421304.03,-59.76,218054645.27,-19.2042167716,156795733.22,5389204.96,14446282.24,14947342.9,198761731.53,21504641.79,20611829.66,2026-04-30,20260331
325,603528,多伦科技,-20172714.63,-795.81,78456107.82,-25.3108540234,55321636.76,12855531.29,22555493.26,402158.03,104081287.82,-23878742.43,-23878083.45,2026-04-30,20260331
326,603520,司太立,20953600.9,46.08,711269910.7,3.6994363378,552984440.38,32709659.6,33035747.34,28705353.74,680653161.59,27244503.45,27634893.47,2026-04-30,20260331
327,603507,振江股份,97062588.01,1249.12,1488625219.61,58.8700900546,1217233847.94,12677959.15,57224945.23,84373225.96,1409447076.43,105550897.85,105273803.3,2026-04-30,20260331
330,603500,祥和实业,39322873.36,10.93,180665444.52,-4.581508321,122736238.47,1500128.39,12496846.62,928247.68,145092126.74,51442489.04,51311361.0,2026-04-30,20260331
331,603499,翔港科技,30616945.7,-25.66,262881273.77,2.0016819786,197931893.33,5081027.03,17363530.86,2228841.55,234736052.69,37493097.5,37234647.51,2026-04-30,20260331
333,603409,汇通控股,41598341.43,43.14,317547276.61,22.5613884639,227731862.47,4185540.86,21491270.48,-238259.05,272294290.64,49366200.89,49364287.5,2026-04-30,20260331
