stock_code,stock_name,total_share,float_share,total_market_value,float_market_value,industry,listing_date,source,download_date
300617,安靠智电,165707664.0,138923724.0,9352540556.16,7840854982.559999,电网设备,20170228,stock_individual_info_em,20260608
300619,金银河,173999658.0,146486496.0,6547607130.540001,5512286844.4800005,电池,20170301,stock_individual_info_em,20260608
300622,博士眼镜,318995824.0,218081644.0,4976334854.4,3402073646.4,专业连锁Ⅱ,20170315,stock_individual_info_em,20260608
300629,新劲刚,251423424.0,216788619.0,5204464876.8,4487524413.3,军工电子Ⅱ,20170324,stock_individual_info_em,20260608
300631,久吾高科,125031424.0,121605081.0,2911981864.96,2832182336.49,环保设备Ⅱ,20170323,stock_individual_info_em,20260608
300632,光莆股份,305181620.0,221195558.0,8136141989.2,5897073576.28,光学光电子,20170406,stock_individual_info_em,20260608
300636,同和药业,419951495.0,367357684.0,2784278411.85,2435581444.92,化学制药,20170331,stock_individual_info_em,20260608
300639,凯普生物,646500674.0,635164371.0,3361803504.8,3302854729.2000003,医疗器械,20170412,stock_individual_info_em,20260608
300643,万通智控,231253546.0,230725995.0,3952123101.14,3943107254.55,汽车零部件,20170505,stock_individual_info_em,20260608
300644,南京聚隆,110670222.0,88606552.0,2643911603.58,2116810527.28,塑料,20180206,stock_individual_info_em,20260608
300647,超频三,457321024.0,456642143.0,2771365405.44,2767251386.58,消费电子,20170503,stock_individual_info_em,20260608
300648,星云股份,174281400.0,132686943.0,7605640296.0,5790458192.52,电池,20170425,stock_individual_info_em,20260608
300650,太龙股份,241402672.0,170345341.0,3039259640.48,2144647843.19,其他电子Ⅱ,20170503,stock_individual_info_em,20260608
300698,万马科技,134000000.0,118545943.0,4399220000.0,3891863308.69,通信设备,20170831,stock_individual_info_em,20260608
300700,岱勒新材,397028823.0,270610349.0,7920725018.849999,5398676462.55,通用设备,20170912,stock_individual_info_em,20260608
300701,森霸传感,282735119.0,249121823.0,2892380267.37,2548516249.29,光学光电子,20170915,stock_individual_info_em,20260608
300706,阿石创,153301499.0,113595749.0,7481113151.2,5543472551.2,半导体,20170926,stock_individual_info_em,20260608
300707,威唐工业,176541184.0,145804195.0,2164394915.84,1787559430.7,汽车零部件,20171010,stock_individual_info_em,20260608
300708,聚灿光电,938915144.0,710014254.0,7905665512.48,5978320018.68,光学光电子,20171016,stock_individual_info_em,20260608
300709,精研科技,186076681.0,149276977.0,8818173912.59,7074235940.03,消费电子,20171019,stock_individual_info_em,20260608
300711,广哈通信,280433632.0,248425694.0,5033783694.4,4459241207.3,通信设备,20171101,stock_individual_info_em,20260608
300712,永福股份,187546035.0,186739585.0,3929089433.25,3912194305.75,专业工程,20171031,stock_individual_info_em,20260608
300713,英可瑞,158720810.0,86375624.0,2233201796.7,1215305029.68,其他电源设备Ⅱ,20171101,stock_individual_info_em,20260608
300715,凯伦股份,378055430.0,312958658.0,8948572028.1,7407731434.860001,装修建材,20171026,stock_individual_info_em,20260608
300719,安达维尔,254227150.0,179595132.0,3152416660.0,2226979636.8,航空装备Ⅱ,20171109,stock_individual_info_em,20260608
300720,海川智能,194877256.0,184145221.0,13160061097.68,12435326774.13,通用设备,20171106,stock_individual_info_em,20260608
300722,新余国科,276756480.0,276756480.0,6276836966.4,6276836966.4,航天装备Ⅱ,20171110,stock_individual_info_em,20260608
300727,润禾材料,180136352.0,162108977.0,5539192824.0,4984851042.75,化学制品,20171127,stock_individual_info_em,20260608
300729,乐歌股份,341613405.0,328917798.0,3563027814.15,3430612633.14,家居用品,20171201,stock_individual_info_em,20260608
300730,科创信息,241138947.0,206755370.0,3245730226.6200004,2782927280.2000003,软件开发,20171205,stock_individual_info_em,20260608
300731,科创新源,177284525.0,168250864.0,9475857861.25,8993008680.800001,橡胶,20171208,stock_individual_info_em,20260608
300733,西菱动力,396602338.0,292419944.0,5302573259.059999,3909654651.28,汽车零部件,20180116,stock_individual_info_em,20260608
