序号,stock_code,stock_name,net_cash_flow,净现金流-同比增长,operating_cash_flow,经营性现金流-净现金流占比,investing_cash_flow,投资性现金流-净现金流占比,financing_cash_flow,融资性现金流-净现金流占比,announcement_date,report_date_param
376,603211,晋拓股份,-36033477.19,-187.3128416639,10918627.51,30.3013429773,-106027292.03,-294.2466292413,63017300.2,174.8854263154,2026-04-30,20260331
377,603210,泰鸿万立,-92313903.32,-373.8549523236,-153618901.23,-166.4092793233,-247277183.31,-267.8655916572,308582181.22,334.2748709805,2026-04-30,20260331
380,603191,望变电气,-327051774.3,-259.5636951752,-203522475.59,-62.2294363104,-19842033.38,-6.0669395304,-102704657.26,-31.4031799643,2026-04-30,20260331
388,603168,莎普爱思,-40096097.75,-257.2910702092,-22214434.62,-55.4029839974,7397052.3,18.4483097236,-25278715.43,-63.0453257262,2026-04-30,20260331
389,603167,渤海轮渡,132741681.64,583.4004465016,142892115.62,107.6467571109,-391893.97,-0.2952305298,-9751230.14,-7.3460197426,2026-04-30,20260331
390,603166,福达股份,4720052.07,-87.0496678153,61870426.21,1310.7996541657,-158198884.8,-3351.6343136443,101048510.66,2140.8346594787,2026-04-30,20260331
391,603165,荣晟环保,61022642.19,103.9462629812,-98733879.9,-161.7987624865,22922614.71,37.5641137246,136833936.76,224.234696908,2026-04-30,20260331
392,603163,圣晖集成,291009552.05,3122.0487896504,349163913.59,119.9836607185,-679792.57,-0.2335980263,-44836389.34,-15.4071881916,2026-04-30,20260331
395,603158,腾龙股份,-63845060.74,-223.6277445047,33400291.38,52.3146050656,-95291010.45,-149.2535355837,-1089386.35,-1.7062969905,2026-04-30,20260331
396,603130,云中马,62730859.19,1027.989557185,201338329.84,320.9557982144,-209993626.98,-334.7533091233,71386156.33,113.7975109089,2026-04-30,20260331
400,603117,万林物流,-31981825.09,-1576.1863476585,-9774823.35,-30.5636820991,-2477.88,-0.0077477755,-22204518.25,-69.4285525842,2026-04-30,20260331
402,603098,森特股份,-94688302.2,-60.3875160193,-8079208.59,-8.5324252334,-34152649.52,-36.0684991984,-51636203.53,-54.5328222497,2026-04-30,20260331
403,603078,江化微,-355264522.15,-1680.9236413539,37226801.01,10.4786148599,-407920676.1,-114.8216753059,15436995.99,4.3452118147,2026-04-30,20260331
404,603070,万控智造,-262837138.53,41.9760836699,-135332250.53,-51.4890138003,-58045239.74,-22.0841088381,-69000000.0,-26.2519978668,2026-04-30,20260331
408,603052,可川科技,-92280681.57,-64.3810152949,-67621572.13,-73.2781455225,-22495491.46,-24.3772489293,-331050.0,-0.3587424739,2026-04-30,20260331
409,603051,鹿山新材,-371032855.67,-76.7348586701,-53359498.21,-14.3813404648,-370038219.97,-99.7319278644,54338449.58,14.6451853925,2026-04-30,20260331
